Pixel, Red, Green, Blue, Fire
0,208,183,134,0
1,208,158,107,0
2,208,183,134,0
3,208,183,134,0
4,191,152,116,0
5,193,159,123,0
6,201,164,129,0
7,191,154,119,0
8,193,153,124,0
9,199,159,130,0
10,197,160,125,0
11,199,162,127,0
12,203,169,133,0
13,202,168,132,0
14,197,159,129,0
15,199,161,131,0
16,201,168,134,0
17,202,169,135,0
18,207,175,138,0
19,203,170,136,0
20,196,157,132,0
21,195,158,123,0
22,205,168,133,0
23,206,171,138,0
24,204,169,136,0
25,204,170,134,0
26,200,166,130,0
27,192,151,127,0
28,196,158,126,0
29,205,167,135,0
30,207,172,139,0
31,206,172,136,0
32,206,172,136,0
33,203,170,136,0
34,194,168,136,0
35,197,181,132,0
36,202,157,129,0
37,202,157,129,0
38,205,165,134,0
39,210,170,139,0
40,207,172,139,0
41,206,171,138,0
42,204,169,136,0
43,203,170,136,0
44,191,163,130,0
45,205,158,129,0
46,208,161,132,0
47,207,168,134,0
48,207,168,134,0
49,206,173,139,0
50,205,172,138,0
51,200,169,135,0
52,203,172,138,0
53,202,177,134,0
54,203,156,127,0
55,209,162,133,0
56,207,168,134,0
57,209,170,136,0
58,207,172,139,0
59,200,169,137,0
60,255,182,102,0
61,209,164,134,0
62,209,164,134,0
63,210,170,139,0
64,197,169,136,0
65,195,166,138,0
66,202,157,127,0
67,213,168,138,0
68,204,173,139,0
69,198,170,137,0
70,193,167,135,0
71,194,148,125,0
72,211,168,138,0
73,197,169,136,0
74,203,181,137,0
75,202,158,135,0
76,206,173,139,0
77,202,156,124,0
78,194,150,117,0
79,194,151,125,0
80,205,154,124,0
81,204,149,113,0
82,202,147,111,0
83,199,149,110,0
84,192,171,133,0
85,219,167,126,0
86,207,155,114,0
87,213,161,118,0
88,209,157,114,0
89,218,172,120,0
90,205,159,107,0
91,208,169,117,0
92,209,170,118,0
93,208,168,121,0
94,207,167,120,0
95,207,167,120,0
96,206,166,119,0
97,200,162,119,0
98,192,153,130,0
99,203,165,135,0
100,195,174,138,0
101,195,174,138,0
102,207,177,138,0
103,229,177,134,0
104,220,168,125,0
105,215,162,112,0
106,212,159,109,0
107,216,163,113,0
108,212,159,109,0
109,204,157,103,0
110,201,154,100,0
111,202,156,106,0
112,204,158,108,0
113,204,155,111,0
114,204,155,111,0
115,201,157,113,0
116,206,168,136,0
117,197,171,139,0
118,200,167,133,0
119,230,179,131,0
120,230,179,131,0
121,221,168,118,0
122,218,165,115,0
123,221,169,116,0
124,224,172,119,0
125,223,171,114,0
126,219,167,110,0
127,214,167,111,0
128,212,165,109,0
129,210,162,113,0
130,210,162,113,0
131,209,162,119,0
132,205,158,115,0
133,199,156,116,0
134,196,153,113,0
135,192,150,117,0
136,191,149,116,0
137,208,171,136,0
138,210,173,138,0
139,236,188,137,0
140,231,183,132,0
141,228,177,127,0
142,219,168,118,0
143,224,172,119,0
144,224,172,119,0
145,221,171,116,0
146,221,171,116,0
147,219,172,118,0
148,219,172,118,0
149,216,169,122,0
150,210,163,116,0
151,208,163,122,0
152,207,162,121,0
153,203,160,120,0
154,202,159,119,0
155,199,158,118,0
156,198,157,117,0
157,196,158,117,0
158,192,154,113,0
159,204,160,137,0
160,192,171,135,0
161,237,184,134,0
162,232,179,129,0
163,229,176,126,0
164,225,172,122,0
165,221,171,118,0
