Pixel, Red, Green, Blue, Fire
0,191,126,86,0
1,191,126,86,0
2,191,126,86,0
3,191,126,86,0
4,191,126,88,0
5,191,126,88,0
6,193,126,84,0
7,193,126,84,0
8,193,126,84,0
9,193,126,84,0
10,194,127,85,0
11,194,127,85,0
12,194,127,85,0
13,194,127,85,0
14,195,128,86,0
15,195,128,86,0
16,195,128,86,0
17,195,128,86,0
18,195,128,86,0
19,196,129,87,0
20,196,129,87,0
21,196,129,87,0
22,194,126,87,0
23,192,127,89,0
24,192,127,89,0
25,192,127,89,0
26,191,126,88,0
27,191,126,88,0
28,191,126,88,0
29,193,126,84,0
30,193,126,84,0
31,194,127,85,0
32,195,128,85,0
33,195,128,85,0
34,196,127,85,0
35,198,127,85,0
36,199,128,86,0
37,199,128,86,0
38,200,129,87,0
39,200,129,87,0
40,201,130,88,0
41,201,130,88,0
42,201,130,88,0
43,201,130,88,0
44,201,130,88,0
45,201,130,88,0
46,201,130,88,0
47,200,131,89,0
48,202,131,89,0
49,200,131,89,0
50,201,132,91,0
51,199,132,90,0
52,199,131,92,0
53,197,132,90,0
54,199,131,92,0
55,197,132,92,0
56,198,130,91,0
57,196,131,91,0
58,195,127,90,0
59,193,128,88,0
60,192,127,89,0
61,192,127,87,0
62,192,127,89,0
63,191,128,87,0
64,191,126,88,0
65,193,125,88,0
66,193,125,86,0
67,194,126,87,0
68,195,126,85,0
69,196,127,86,0
70,197,128,86,0
71,198,129,87,0
72,200,129,87,0
73,203,130,87,0
74,203,130,87,0
75,203,130,87,0
76,204,131,88,0
77,205,130,88,0
78,206,131,89,0
79,206,131,89,0
80,207,132,90,0
81,205,132,89,0
82,205,132,89,0
83,205,132,89,0
84,205,132,89,0
85,206,133,90,0
86,205,134,90,0
87,206,133,90,0
88,205,134,92,0
89,205,134,92,0
90,203,134,92,0
91,202,133,92,0
92,201,134,91,0
93,202,133,92,0
94,201,134,92,0
95,201,132,91,0
96,200,133,91,0
97,199,130,91,0
98,198,131,89,0
99,198,130,91,0
100,198,131,89,0
101,198,130,91,0
102,195,130,88,0
103,197,129,90,0
104,195,130,90,0
105,191,123,84,0
106,195,126,87,0
107,195,126,87,0
108,196,127,86,0
109,197,128,87,0
110,199,128,86,0
111,200,129,87,0
112,201,130,88,0
113,202,129,88,0
114,206,131,89,0
115,208,131,87,0
116,209,132,90,0
117,209,132,88,0
118,210,133,91,0
119,212,133,90,0
120,212,133,92,0
121,211,134,90,0
122,210,133,91,0
123,210,133,89,0
124,210,133,91,0
125,209,135,90,0
126,209,134,92,0
127,208,135,90,0
128,209,134,92,0
129,208,135,92,0
130,209,136,93,0
131,208,137,95,0
132,208,137,95,0
133,205,136,94,0
134,207,136,94,0
135,205,136,94,0
136,207,136,94,0
137,205,136,94,0
138,202,133,92,0
139,202,133,92,0
140,202,133,92,0
141,200,133,91,0
142,201,132,91,0
143,200,133,91,0
144,201,132,91,0
145,199,132,90,0
146,194,131,90,0
147,193,129,91,0
148,191,127,89,0
149,191,123,86,0
150,192,122,86,0
151,193,124,85,0
152,196,127,88,0
153,199,130,89,0
154,204,132,92,0
155,204,132,92,0
156,204,131,90,0
157,204,131,90,0
158,207,134,93,0
159,211,136,94,0
160,213,136,92,0
161,214,136,90,0
162,215,136,93,0
163,214,136,90,0
164,214,135,92,0
