RedMean,GreenMean,BlueMean,RedVariance,GreenVariance,BlueVariance,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Fire
202.549,169.085,118.269,13.0513,28.1336,21.1427,0.472972,0.0972011,0.0797106,0.133395,0.013746,0.0414626,-0.000504917,0
205.422,159.608,115.963,11.7052,16.748,19.4565,0.592593,0.0401235,0.0939007,0.0165752,-0.000653605,-0.00252755,2.01378e-005,0
192.714,157.333,136.905,1.69433,4.73421,2.82682,0.183811,0.00313771,0.000462532,1.45565e-005,1.04469e-009,-1.99446e-007,-5.79027e-010,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
206.085,131.636,61.1928,13.6679,18.3051,33.6578,0.222222,0.0123457,0.00548758,0.00021949,-2.40887e-007,-2.43878e-005,-5.08314e-011,0
204.517,140.203,59.6436,11.4047,20.2438,42.7651,0.179424,0.00240161,0.000867879,1.29502e-005,-3.36497e-010,-4.3358e-007,-1.33103e-009,0
193.207,163.655,134.759,2.89869,10.7569,5.40424,0.178884,0.00116139,0.000863312,7.48122e-006,-2.68571e-010,2.14324e-007,-5.37913e-010,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
209.105,169.851,119.334,14.9614,14.2,12.6969,0.200753,0.0120691,3.55087e-006,3.37272e-006,9.20948e-012,2.75332e-007,7.1705e-012,0
219.11,164.579,121.781,14.9131,10.7472,11.0014,0.986111,0.724151,0.651269,0.459502,0.250298,0.359367,-0.0231823,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
191,179,137,0,0,0,0,0,0,0,0,0,0,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
199.517,153.974,123.272,6.32187,7.08069,15.0277,0.25,0.0347222,2.90299e-012,6.96297e-012,3.10174e-023,-1.27541e-012,4.23413e-024,0
201.55,169.229,101.848,8.2309,21.0562,24.0784,0.172945,0.00122404,0.000545581,1.50554e-005,3.98465e-010,4.50625e-007,-1.305e-009,0
206.657,117.34,115.608,13.5586,11.5805,11.1046,0.222881,0.020739,0.00106328,0.000202782,9.11913e-008,2.65121e-005,-2.346e-008,0
204.11,145.263,109.148,11.9963,12.1565,12.7086,0.164008,7.0672e-006,0.000265648,2.84248e-006,-7.81089e-011,-7.55652e-009,8.7694e-015,0
215.12,163.598,122.316,15.8991,28.1952,13.5494,0.432095,0.157208,0.000630357,0.000203143,6.44589e-008,4.78619e-005,3.36063e-008,0
