Pixel, Red, Green, Blue, Fire
1,191,115,3,0
2,192,119,6,0
3,194,118,6,0
4,191,118,5,0
5,194,118,6,0
6,191,118,5,0
7,192,116,4,0
8,192,116,4,0
9,192,119,6,0
10,196,120,8,0
11,195,122,9,0
12,197,124,11,0
13,193,120,7,0
14,194,122,2,0
15,195,123,3,0
16,196,124,4,0
17,195,120,1,0
18,196,121,2,0
19,199,122,4,0
20,199,124,5,0
21,200,123,5,0
22,198,123,4,0
23,197,120,2,0
24,195,120,1,0
25,196,119,1,0
26,197,122,3,0
27,197,120,2,0
28,193,118,1,0
29,193,118,1,0
30,194,119,2,0
31,194,119,2,0
32,194,119,2,0
33,194,119,2,0
34,193,118,1,0
35,193,118,1,0
36,196,121,4,0
37,196,121,4,0
38,195,120,3,0
39,194,119,2,0
40,193,118,1,0
41,191,119,1,0
42,195,123,2,0
43,197,126,2,0
44,198,126,5,0
45,199,128,4,0
46,197,121,1,0
47,199,123,3,0
48,200,124,2,0
49,200,124,4,0
50,199,123,1,0
51,198,122,2,0
52,202,126,6,0
53,202,126,4,0
54,198,122,2,0
55,197,120,2,0
56,198,122,2,0
57,198,121,3,0
58,197,121,1,0
59,196,119,1,0
60,193,118,1,0
61,194,119,2,0
62,191,119,1,0
63,192,120,2,0
64,193,121,1,0
65,193,121,1,0
66,194,122,1,0
67,195,123,2,0
68,196,125,1,0
69,198,127,3,0
70,199,128,2,0
71,201,130,6,0
72,201,130,4,0
73,200,124,2,0
74,201,125,3,0
75,202,127,2,0
76,202,126,4,0
77,201,126,1,0
78,200,124,2,0
79,201,125,3,0
80,204,129,4,0
81,206,130,8,0
82,204,129,4,0
83,200,124,2,0
84,199,123,1,0
85,199,123,1,0
86,200,124,4,0
87,201,125,3,0
88,201,125,5,0
89,200,124,2,0
90,199,123,3,0
91,199,123,1,0
92,197,121,1,0
93,197,123,2,0
94,191,119,1,0
95,193,121,1,0
96,194,122,1,0
97,194,122,1,0
98,195,123,2,0
99,196,124,3,0
100,197,126,2,0
101,197,126,2,0
102,200,129,5,0
103,200,129,3,0
104,200,129,3,0
105,200,129,3,0
106,200,129,1,0
107,203,128,1,0
108,203,128,1,0
109,203,128,1,0
110,203,128,1,0
111,203,128,1,0
112,203,128,1,0
113,203,128,1,0
114,203,128,1,0
115,203,128,1,0
116,204,129,2,0
117,204,129,2,0
118,201,126,1,0
119,202,126,4,0
120,202,127,2,0
121,202,126,4,0
122,202,127,2,0
123,201,125,3,0
124,199,123,1,0
125,200,124,2,0
126,199,125,2,0
127,195,123,3,0
128,192,122,1,0
129,191,120,2,0
130,191,120,6,0
131,198,124,1,0
132,198,124,1,0
133,199,125,2,0
134,200,126,3,0
135,201,127,2,0
136,201,127,2,0
137,202,128,3,0
138,202,129,1,0
139,207,134,6,0
140,206,133,5,0
141,205,132,3,0
142,203,130,1,0
143,206,131,3,0
144,205,130,2,0
145,205,130,2,0
146,205,130,2,0
147,205,130,2,0
148,205,130,2,0
149,205,130,2,0
150,206,131,3,0
151,206,131,3,0
152,205,130,2,0
153,203,128,3,0
154,203,128,1,0
155,203,128,3,0
156,203,128,1,0
157,202,127,2,0
158,203,128,3,0
159,203,128,1,0
160,203,128,3,0
161,203,128,1,0
162,203,128,3,0
163,203,128,1,0
164,203,128,3,0
165,202,128,3,0
166,198,126,5,0
167,196,126,4,0
168,195,125,4,0
169,194,124,3,0
170,193,123,2,0
171,192,121,3,0
172,192,121,3,0
173,192,121,3,0
174,194,123,7,0
175,192,121,5,0
176,192,121,3,0
177,193,123,2,0
178,193,121,1,0
179,193,121,1,0
180,198,124,3,0
181,200,126,3,0
182,201,127,2,0
183,202,129,1,0
184,202,129,1,0
185,203,130,2,0
186,204,131,2,0
187,204,131,2,0
188,205,132,3,0
189,205,132,3,0
190,208,135,4,0
191,207,134,3,0
192,206,133,2,0
193,208,134,1,0
194,208,134,1,0
195,207,133,2,0
196,206,132,1,0
197,208,134,3,0
198,208,134,1,0
199,209,135,4,0
200,208,134,3,0
201,204,129,1,0
202,205,130,2,0
203,205,130,2,0
204,204,129,1,0
205,207,132,4,0
206,206,131,3,0
207,206,131,3,0
208,206,131,3,0
209,206,131,3,0
210,206,131,3,0
211,206,131,3,0
212,205,132,4,0
213,201,130,6,0
214,199,129,5,0
215,199,129,7,0
216,198,128,6,0
217,196,126,4,0
218,195,125,3,0
219,194,124,3,0
220,194,124,3,0
221,197,127,6,0
222,194,123,5,0
223,191,120,2,0
224,191,120,2,0
225,192,121,3,0
226,192,121,5,0
227,191,120,4,0
228,192,122,1,0
229,194,122,2,0
230,195,123,2,0
231,197,125,4,0
232,197,126,2,0
233,200,126,3,0
234,200,126,3,0
235,201,127,4,0
236,202,128,3,0
237,204,128,6,0
238,204,129,4,0
239,204,131,2,0
240,204,131,2,0
241,205,132,1,0
242,205,132,1,0
243,206,133,2,0
244,207,134,3,0
245,207,135,1,0
246,208,136,2,0
247,211,137,2,0
248,210,136,1,0
249,209,135,2,0
250,208,134,1,0
251,210,136,3,0
252,211,137,2,0
253,210,136,3,0
254,212,138,5,0
255,206,132,1,0
256,207,133,2,0
257,208,134,3,0
258,208,134,3,0
259,207,133,2,0
260,206,132,1,0
261,206,132,1,0
262,206,132,1,0
263,207,133,2,0
264,207,133,2,0
265,208,134,3,0
266,209,135,4,0
267,208,135,6,0
268,203,132,6,0
269,203,132,6,0
270,203,132,8,0
271,202,131,7,0
272,200,129,5,0
273,199,128,4,0
274,197,125,4,0
275,196,124,3,0
276,200,128,7,0
277,197,125,5,0
278,194,122,2,0
279,193,121,1,0
280,194,122,2,0
281,195,123,5,0
282,194,122,4,0
283,193,120,5,0
284,198,127,3,0
285,199,128,2,0
286,202,128,3,0
287,203,130,2,0
288,204,131,3,0
289,204,131,3,0
290,205,130,3,0
291,205,130,3,0
292,205,132,1,0
293,207,135,1,0
294,209,137,1,0
295,212,139,1,0
296,211,137,2,0
297,212,139,1,0
298,210,136,1,0
299,212,138,3,0
300,211,137,2,0
301,215,141,6,0
302,209,135,2,0
303,209,135,2,0
304,210,136,3,0
305,210,136,3,0
306,209,135,2,0
307,209,135,2,0
308,208,134,1,0
309,208,134,1,0
310,209,135,2,0
311,211,137,4,0
312,211,137,6,0
313,207,134,5,0
314,204,133,5,0
315,204,133,5,0
316,203,132,4,0
317,202,131,3,0
318,200,129,3,0
319,198,127,1,0
320,201,130,6,0
321,198,127,3,0
322,194,122,1,0
323,194,122,1,0
324,195,123,2,0
325,195,123,2,0
326,194,122,2,0
327,195,125,1,0
328,199,129,5,0
329,198,128,4,0
330,203,130,2,0
331,205,132,4,0
332,208,133,6,0
333,210,135,7,0
334,209,134,6,0
335,206,131,3,0
336,214,141,2,0
337,217,144,6,0
338,218,145,6,0
339,216,143,5,0
340,213,140,1,0
341,212,139,1,0
342,214,141,3,0
343,213,140,2,0
344,212,139,1,0
345,210,136,1,0
346,212,138,3,0
347,212,138,3,0
348,211,137,2,0
349,213,139,4,0
350,211,137,4,0
351,212,139,8,0
352,211,138,9,0
353,209,136,7,0
354,207,134,5,0
355,205,132,3,0
356,203,130,2,0
357,200,126,1,0
358,201,127,2,0
359,202,128,5,0
360,202,128,5,0
361,201,127,4,0
362,199,125,2,0
363,196,124,3,0
364,191,120,2,0
365,191,120,2,0
366,200,131,4,0
